Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Egídio Asam;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-600;35 / 50 / 100 / 150 / 300 MB
Rua André Bacci;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-640;35 / 50 / 100 / 150 / 300 MB
Rua Alfonso Bergaz;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-660;35 / 50 / 100 / 150 / 300 MB
Rua Agnes Roselin;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-680;35 / 50 / 100 / 150 / 300 MB
Rua Augusto Aridas;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-690;35 / 50 / 100 / 150 / 300 MB
Rua Alcides Quintar;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-700;35 / 50 / 100 / 150 / 300 MB
Rua César Domênico;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-480;35 / 50 / 100 / 150 / 300 MB
Rua Alberto Aparoti;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-310;35 / 50 / 100 / 150 / 300 MB
Rua Luís Fioroni;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-300;35 / 50 / 100 / 150 / 300 MB
Avenida Professor João Batista Conti - de 145/146 ao fim;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-210;35 / 50 / 100 / 150 / 300 MB
Rua Padre Luís Gonzaga;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-260;35 / 50 / 100 / 150 / 300 MB
Rua Nabuco de Abreu;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-190;35 / 50 / 100 / 150 / 300 MB
Rua Ervateiros;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-310;35 / 50 / 100 / 150 / 300 MB
Rua Augita;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-300;35 / 50 / 100 / 150 / 300 MB
Rua Tupinambaranas;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-280;35 / 50 / 100 / 150 / 300 MB
Rua Ponta Tigioca;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-290;35 / 50 / 100 / 150 / 300 MB
Rua Cortis;Vila Solange;São Paulo;Guaianazes;FTTH;08410-400;35 / 50 / 100 / 150 / 300 MB
Rua Aguanil;Jardim São João (Guaianazes);São Paulo;Guaianazes;FTTH;08420-540;35 / 50 / 100 / 150 / 300 MB
Rua Professor Marques Bronze;Jardim São João;São Paulo;Guaianazes;FTTH;08420-510;35 / 50 / 100 / 150 / 300 MB
Rua Itiquira;Jardim São João (Guaianazes);São Paulo;Guaianazes;FTTH;08420-520;35 / 50 / 100 / 150 / 300 MB
Avenida Professor João Batista Conti - até 143/144;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-720;35 / 50 / 100 / 150 / 300 MB
Rua Luís Mateus;Jardim São João;São Paulo;Guaianazes;FTTH;08420-585;35 / 50 / 100 / 150 / 300 MB
Rua Badeleíta;Jardim São João (Guaianazes);São Paulo;Guaianazes;FTTH;08420-530;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Calhamares;Jardim Helena;São Paulo;Guaianazes;FTTH;08420-090;35 / 50 / 100 / 150 / 300 MB
Rua Pilar do Sul;Jardim Helena;São Paulo;Guaianazes;FTTH;08420-600;35 / 50 / 100 / 150 / 300 MB
Doutor Ribeiro De Andrade até o 172;Jardim Helena;São Paulo;Guaianazes;FTTH;08420-040;35 / 50 / 100 / 150 / 300 MB
