Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Hilário Pires;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-010;35 / 50 / 100 / 150 / 300 MB
Rua Belo Vale (A partir do N° 240);Jardim Helena;São Paulo;Guaianazes;FTTH;08420-250;35 / 50 / 100 / 150 / 300 MB
Avenida Professor Osvaldo de Oliveira;Jardim Helena;São Paulo;Guaianazes;FTTH;08420-280;35 / 50 / 100 / 150 / 300 MB
Rua Oliveira César;Vila Marilena;São Paulo;Guaianazes;FTTH;08411-340;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Machado Cruz;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-120;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Francisco Araújo;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-110;35 / 50 / 100 / 150 / 300 MB
Rua Tiago Moreira;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-190;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Gomes Chaves;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-130;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Souza Calheiros;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-200;35 / 50 / 100 / 150 / 300 MB
Rua Barão Joaquim do Amparo;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-725;35 / 50 / 100 / 150 / 300 MB
Travessa Barão de Lazarim;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-770;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira do Espírito Santo;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-530;35 / 50 / 100 / 150 / 300 MB
Travessa Barão Moreira de Butuí ;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-740;35 / 50 / 100 / 150 / 300 MB
Rua Rio Araguari;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-001;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira das Abelhas ;Conjunto Habitacional Inácio Monteiro ;São Paulo;Guaianazes;FTTH;08472-285;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira da Pedra;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-300;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Esmeralda;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-290;35 / 50 / 100 / 150 / 300 MB
Rua Barão Machado de Antonina;Vila Hortência ;São Paulo;Guaianazes;FTTH;08490-013;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Universo;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-550;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Carajá;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-440;35 / 50 / 100 / 150 / 300 MB
Rua Arroio Fagundes;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-470;35 / 50 / 100 / 150 / 300 MB
Estrada Nossa Senhora da Fonte;Guaianazes;São Paulo;Guaianases;FTTH;08410-440;35/50/100/150/300MB
Rua Cachoeira das Guaribás;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-560;35 / 50 / 100 / 150 / 300 MB
Rua Arroio Jereré;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-490;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Copacabana;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-460;35 / 50 / 100 / 150 / 300 MB
Rua Barão Máximo de Andaraí;Vila Hortência;São Paulo;Guaianazes;FTTH;08490-015;35 / 50 / 100 / 150 / 300 MB
Rua Barão Manuel de Batovi;Vila Hortência;São Paulo;Guaianazes;FTTH;08490-014;35 / 50 / 100 / 150 / 300 MB
Travessa Barão Joaquim de Atibaia;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-760;35 / 50 / 100 / 150 / 300 MB
Rua Barão de Gondoriz;Vila Hortência;São Paulo;Guaianazes;FTTH;08490-018;35 / 50 / 100 / 150 / 300 MB
Travessa Barão de Avelar e Almeida;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-790;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Morena;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-610;35 / 50 / 100 / 150 / 300 MB
Rua Pacajas;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-110;35 / 50 / 100 / 150 / 300 MB
Rua Santana do Rio Preto;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-060;35 / 50 / 100 / 150 / 300 MB
Rua São Luís;Vila Cosmopolita;São Paulo;Guaianazes;FTTH;08421-030;35 / 50 / 100 / 150 / 300 MB
Rua Garcia Barco;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-070;35 / 50 / 100 / 150 / 300 MB
Rua Inacio Jacometti;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-080;35 / 50 / 100 / 150 / 300 MB
Rua Bernardino Prudente;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-020;35 / 50 / 100 / 150 / 300 MB
Rua Luz do Sol;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08257-100;35 / 50 / 100 / 150 / 300 MB
Rua Paulo Alboni ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-360;35 / 50 / 100 / 150 / 300 MB
Rua Onofre Avelino ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-390;35 / 50 / 100 / 150 / 300 MB
Rua Lucas Auvera ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-420;35 / 50 / 100 / 150 / 300 MB
Rua Martino Rota ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-450;35 / 50 / 100 / 150 / 300 MB
Rua Daniel Berger ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-470;35 / 50 / 100 / 150 / 300 MB
Rua Professor Leôncio Gurgel 555 AO 662;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-585;35 / 50 / 100 / 150 / 300 MB
Rua Giovanni Quadri ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-500;35 / 50 / 100 / 150 / 300 MB
Rua Miguel Barreda ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-520;35 / 50 / 100 / 150 / 300 MB
Rua George Beloni ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-540;35 / 50 / 100 / 150 / 300 MB
Rua Gaspar Fonseca ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-610;35 / 50 / 100 / 150 / 300 MB
Rua Mário Quarini ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-620;35 / 50 / 100 / 150 / 300 MB
Rua Júlio Barian ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-630;35 / 50 / 100 / 150 / 300 MB
Travessa Popular ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-673;35 / 50 / 100 / 150 / 300 MB
Rua Nicolau Benati ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-270;35 / 50 / 100 / 150 / 300 MB
Rua João Alamina ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-280;35 / 50 / 100 / 150 / 300 MB
Rua Henrique Danco ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-315;35 / 50 / 100 / 150 / 300 MB
Rua Isidoro Farina ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-290;35 / 50 / 100 / 150 / 300 MB
Rua Pietro Rafanelli ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-250;35 / 50 / 100 / 150 / 300 MB
Rua Dominique Serres ;Conjunto Residencial José Bonifacio;São Paulo;Guaianazes;FTTH;08255-720;35 / 50 / 100 / 150 / 300 MB
Rua Viana  ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-723;35 / 50 / 100 / 150 / 300 MB
Rua Professo Leoncio Gurgel 555 ao 662;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-640;35 / 50 / 100 / 150 / 300 MB
Rua General Moreira Couto (Instalações em pausa);Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-730;35 / 50 / 100 / 150 / 300 MB
Rua Nelson;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-725;35 / 50 / 100 / 150 / 300 MB
Rua General Leônidas Cardoso;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-440;35 / 50 / 100 / 150 / 300 MB
Rua Silvianópolis ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08255-415;35 / 50 / 100 / 150 / 300 MB
Rua Professora Lucila Cerqueira ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-690;35 / 50 / 100 / 150 / 300 MB
Rua Luís Medeiros da Silva ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-650;35 / 50 / 100 / 150 / 300 MB
Rua Padre Aloísio Zens ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-760;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Domingos Ramos Paiva ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-630;35 / 50 / 100 / 150 / 300 MB
Rua Salvador de Oliveira ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-620;35 / 50 / 100 / 150 / 300 MB
Rua Madre Marie Bernardine ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-610;35 / 50 / 100 / 150 / 300 MB
Rua Jaraguá do Sul ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-770;35 / 50 / 100 / 150 / 300 MB
Rua Irmão Fabiano ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-590;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Solon Fernandes ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-430;35 / 50 / 100 / 150 / 300 MB
Rua Pero Cabral ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-420;35 / 50 / 100 / 150 / 300 MB
Rua Professora Joana Fagundes ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-410;35 / 50 / 100 / 150 / 300 MB
Rua Luiz Mateus;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-755;35 / 50 / 100 / 150 / 300 MB
Rua Lincoln Junqueira ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-660;35 / 50 / 100 / 150 / 300 MB
Rua Santo Ovídio ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-670;35 / 50 / 100 / 150 / 300 MB
Rua Manoel Ferreira Poças;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-330;35 / 50 / 100 / 150 / 300 MB
Rua Wilson Duarte ;Jardim São Pedro;São Paulo;Guaianazes;FTTH;08420-710;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Rodrigues de Almeida;Vila Buenos Aires;São Paulo;Guaianazes;FTTH;08411-350;35 / 50 / 100 / 150 / 300 MB
Rua Cordislândia;Vila Buenos Aires;São Paulo;Guaianazes;FTTH;08410-430;35 / 50 / 100 / 150 / 300 MB
Rua Luiz Rubino ;Jardim Wilma Flor ;São Paulo;Guaianazes;FTTH;08473-002;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Alves Jorge ;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-440;35 / 50 / 100 / 150 / 300 MB
Rua Professor Hasegawa ;Colonia Zona Leste ;São Paulo;Guaianazes;FTTH;08260-090;35 / 50 / 100 / 150 / 300 MB
Rua Evaldo Calabrez;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-070;35 / 50 / 100 / 150 / 300 MB
Praça Iotiope;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-155;35 / 50 / 100 / 150 / 300 MB
Rua Serra do Mar;Vila Princesa Isabel;São Paulo;Guaianazes;FTTH;08410-160;25 / 35 / 50 / 100 / 150 / 300MB
Rua Prates da Fonseca;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-200;35 / 50 / 100 / 150 / 300 MB
Rua Alcaprima;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-270;35 / 50 / 100 / 150 / 300 MB
Rua Hipólito de Camargo;Vila Lourdes;São Paulo;Guaianazes;FTTH;08410-030;35 / 50 / 100 / 150 / 300 MB
Rua Maquipó;Vila Solange;São Paulo;Guaianazes;FTTH;08410-350;35 / 50 / 100 / 150 / 300 MB
Rua Teodoro Ferraz ;Vila Solange;São Paulo;Guaianazes;FTTH;08410-355;35 / 50 / 100 / 150 / 300 MB
Rua Rodolfo Albino Silva ;Jardim São João (Guaianazes);São Paulo;Guaianazes;FTTH;08420-580;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Madeira ;Jardim São João ;São Paulo;Guaianazes;FTTH;08420-570;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Carlos da Costa ;Jardim São João (Guaianazes);São Paulo;Guaianazes;FTTH;08420-560;35 / 50 / 100 / 150 / 300 MB
Rua Santa Tarcília ;Jardim São João ;São Paulo;Guaianazes;FTTH;08420-550;35 / 50 / 100 / 150 / 300 MB
Rua Silvestre da Silva;Jardim Helena  ;São Paulo;Guaianazes;FTTH;08420-380;35 / 50 / 100 / 150 / 300 MB
Rua Padre Cristóvão Valente ;Jardim Helena  ;São Paulo;Guaianazes;FTTH;08420-340;35 / 50 / 100 / 150 / 300 MB
Rua Ferreira de Camargo ;Jardim Helena  ;São Paulo;Guaianazes;FTTH;08420-300;35 / 50 / 100 / 150 / 300 MB
Rua Santa Rita da Estrela ;Jardim Helena  ;São Paulo;Guaianazes;FTTH;08420-318;35 / 50 / 100 / 150 / 300 MB
Rua Patrícia Galvão ;Jardim Helena  ;São Paulo;Guaianazes;FTTH;08420-320;35 / 50 / 100 / 150 / 300 MB
Estrada Itaquera-Guaianazes - até 1299/1300;Parada XV de Novembro;São Paulo;Guaianazes;FTTH;08246-000;35 / 50 / 100 / 150 / 300 MB
Estrada Itaquera-Guaianazes - de 1301/1302 a 1721/1722;Vila Santa Teresinha;São Paulo;Guaianazes;FTTH;08246-001;35 / 50 / 100 / 150 / 300 MB
Estrada Itaquera-Guaianazes - de 1723/1724 a 2558/2559;Jardim Helena  ;São Paulo;Guaianazes;FTTH;08420-000;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Oliveira Arruda ;Jardim Helena  ;São Paulo;Guaianazes;FTTH;08420-020;35 / 50 / 100 / 150 / 300 MB
Rua São Marçal ;Jardim Helena  ;São Paulo;Guaianazes;FTTH;08420-030;35 / 50 / 100 / 150 / 300 MB
Rua Roseira ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-070;35 / 50 / 100 / 150 / 300 MB
Rua Santa Edith ;Jardim Helena;São Paulo;Guaianazes;FTTH;08420-400;35 / 50 / 100 / 150 / 300 MB
Rua João Piqueras ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-220;35 / 50 / 100 / 150 / 300 MB
Rua Jean Murat ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-360;35 / 50 / 100 / 150 / 300 MB
Rua Frei Francisco ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-200;35 / 50 / 100 / 150 / 300 MB
Rua Agostinho Delgado de Arouche ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-160;35 / 50 / 100 / 150 / 300 MB
Rua Sílvio Marques Júnior ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-210;35 / 50 / 100 / 150 / 300 MB
Rua José Cubas do Prado ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-180;35 / 50 / 100 / 150 / 300 MB
Rua Esteves Ferreira ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-150;35 / 50 / 100 / 150 / 300 MB
Rua Veiga Bueno ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-050;35 / 50 / 100 / 150 / 300 MB
Rua Diogo Sanches;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-110;35 / 50 / 100 / 150 / 300 MB
Rua Shiono Katayama ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-081;35 / 50 / 100 / 150 / 300 MB
Rua Erli ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-080;35 / 50 / 100 / 150 / 300 MB
Rua Caetano Duarte ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-370;35 / 50 / 100 / 150 / 300 MB
Rua Serafim dos Anjos ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-350;35 / 50 / 100 / 150 / 300 MB
Rua Engenheiro Romeu Belluomini ;Jardim Helena ;São Paulo;Guaianazes;FTTH;08420-270;35 / 50 / 100 / 150 / 300 MB
Rua Frei André Blanco ;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08420-230;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Gonçalves Rosa ;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-290;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Rodrigues Fulcato;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-330;35 / 50 / 100 / 150 / 300 MB
Rua Aniceto de Souza Lopes;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-310;35 / 50 / 100 / 150 / 300 MB
Rua Henrique Gomes de Brito;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-300;35 / 50 / 100 / 150 / 300 MB
Praça José Ribeiro Carvalhais;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-320;35 / 50 / 100 / 150 / 300 MB
Rua Jesuíno José Ferreira;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-280;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Coelho Fonseca;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-210;35 / 50 / 100 / 150 / 300 MB
Rua Domingos Moreira Oliveira;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08490-220;35 / 50 / 100 / 150 / 300 MB
Rua Frei Manuel Santa Rita;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08490-230;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Francisco Sarzedo;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-250;35 / 50 / 100 / 150 / 300 MB
Rua João Machado de Souza;Conjunto Habitacional Inácio Monteiro ;São Paulo;Guaianazes;FTTH;08490-240;35 / 50 / 100 / 150 / 300 MB
Rua Antônio José Araújo ;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-270;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Castanha;Conjunto Habitacional Inácio Monteiro ;São Paulo;Guaianazes;FTTH;08472-570;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé da Diana;Conjunto Habitacional Inácio Monteiro ;São Paulo;Guaianazes;FTTH;08472-170;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Santa Cruz;Conjunto Habitacional Inácio Monteiro ;São Paulo;Guaianazes;FTTH;08472-320;35 / 50 / 100 / 150 / 300 MB
Rua Arroio Cordeiro;Conjunto Habitacional Inácio Monteiro ;São Paulo;Guaianazes;FTTH;08472-340;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Acarirema;Conjunto Habitacional Inácio Monteiro ;São Paulo;Guaianazes;FTTH;08472-370;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Peixoto;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-301;35 / 50 / 100 / 150 / 300 MB
Rua João Nepomuceno Castro;Conjunto Residencial Prestes Maia ;São Paulo;Guaianazes;FTTH;08490-180;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Maçaranduba ;Conjunto Habitacional Inácio Monteiro ;São Paulo;Guaianazes;FTTH;08472-190;35 / 50 / 100 / 150 / 300 MB
Rua Padre Ferreira Rocha;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-030;35 / 50 / 100 / 150 / 300 MB
Rua Antônio José da Costa;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-350;35 / 50 / 100 / 150 / 300 MB
Rua João Fernandes Oliveira;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-410;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Branco Barros;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-090;35 / 50 / 100 / 150 / 300 MB
Rua José Bernardes Oliveira;Conjunto Residencial Prestes Maia;São Paulo;Guaianazes;FTTH;08490-070;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira do Bonfim;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-390;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira Aurora;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-373;35 / 50 / 100 / 150 / 300 MB
Rua Arroio Pirajuí;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-430;35 / 50 / 100 / 150 / 300 MB
Travessa Sílvio Caldas;Jardim Wilma Flor;São Paulo;Guaianazes;FTTH;08473-463;35 / 50 / 100 / 150 / 300 MB
Travessa Zola Amaro;Jardim Wilma Flor;São Paulo;Guaianazes;FTTH;08473-465;35 / 50 / 100 / 150 / 300 MB
Travessa Heleno de Freitas;Jardim Wilma Flor;São Paulo;Guaianazes;FTTH;08473-483;35 / 50 / 100 / 150 / 300 MB
Travessa Walter Avancini;Jardim Wilma Flor;São Paulo;Guaianazes;FTTH;08473-460;35 / 50 / 100 / 150 / 300 MB
Travessa Roberto Drummond;Jardim Wilma Flor;São Paulo;Guaianazes;FTTH;08473-480;35 / 50 / 100 / 150 / 300 MB
Travessa Henrique Alvim Correia;Jardim Wilma Flor;São Paulo;Guaianazes;FTTH;08473-475;35 / 50 / 100 / 150 / 300 MB
Travessa Joaquim Antônio da Silva Calado;Jardim Wilma Flor;São Paulo;Guaianazes;FTTH;08473-470;35 / 50 / 100 / 150 / 300 MB
Travessa Alfredo Eduardo Noronha;Jardim Wilma Flor;São Paulo;Guaianazes;FTTH;08473-005;35 / 50 / 100 / 150 / 300 MB
Rua Victor Orban;Guaianazes;São Paulo;Guaianazes;FTTH;08473-285;35 / 50 / 100 / 150 / 300 MB
Rua Joaquim Amaral;Guaianazes;São Paulo;Guaianazes;FTTH;08473-280;35 / 50 / 100 / 150 / 300 MB
Rua Wilma Flor;Guaianazes;São Paulo;Guaianazes;FTTH;08473-440;35 / 50 / 100 / 150 / 300 MB
Rua da Nascente;Guaianazes;São Paulo;Guaianazes;FTTH;08473-290;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Fartura;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-400;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira das Jangadas;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-115;35 / 50 / 100 / 150 / 300 MB
Rua Igarapé Nova Olinda;Conjunto Habitacional Inácio Monteiro;São Paulo;Guaianazes;FTTH;08472-410;35 / 50 / 100 / 150 / 300 MB
Rua Cipriano Funtan;Parque São Rafael;São Paulo;Mauá;FTTH;08320-451;35 / 50 / 100 / 150 / 300 MB
Rua Leonor de Siqueiro;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08310-500;35 / 50 / 100 / 150 / 300 MB
Rua Martim Soares Moreno;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08310-570;35 / 50 / 100 / 150 / 300 MB
Avenida Sargento Iracitan Coimbra;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08310-580;35 / 50 / 100 / 150 / 300 MB
Rua Redução de Caaguaçu;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08310-590;35 / 50 / 100 / 150 / 300 MB
Rua Marçal de Lemos;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08310-600;35 / 50 / 100 / 150 / 300 MB
Travessa Pasquale;Jd. Rodolfo Pirani;São Paulo;Mauá;FTTH;08310-610;35 / 50 / 100 / 150 / 300 MB
Rua Pantaleão Bonfante;Parque São Rafael;São Paulo;Mauá;FTTH;08310-660;35 / 50 / 100 / 150 / 300 MB
Rua Estevão de Meira;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08310-710;35 / 50 / 100 / 150 / 300 MB
Rua José da Costa Azevedo;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08310-740;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Corte Real;Parque São Rafael;São Paulo;Mauá;FTTH;08320-450;35 / 50 / 100 / 150 / 300 MB
Rua Nicolau Machado;Parque São Rafael;São Paulo;Mauá;FTTH;08320-452;35 / 50 / 100 / 150 / 300 MB
Rua Félix da Cunha;Parque São Rafael;São Paulo;Mauá;FTTH;08320-470;35 / 50 / 100 / 150 / 300 MB
Rua Henrique Pais;Parque São Rafael;São Paulo;Mauá;FTTH;08320-510;35 / 50 / 100 / 150 / 300 MB
Rua Roque da Cunha;Parque São Rafael;São Paulo;Mauá;FTTH;08320-540;35 / 50 / 100 / 150 / 300 MB
Rua Frei Antônio Ventura;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-000;35 / 50 / 100 / 150 / 300 MB
Rua José Ricardo da Costa;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-010;35 / 50 / 100 / 150 / 300 MB
Rua Pires Caleiro;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-050;35 / 50 / 100 / 150 / 300 MB
Rua Rodrigues Caldas;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-051;35 / 50 / 100 / 150 / 300 MB
Rua Fortaleza de Itapema;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-054;35 / 50 / 100 / 150 / 300 MB
Rua Agostinho de Magalhães;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-055;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Teles;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-060;35 / 50 / 100 / 150 / 300 MB
Rua Fernandes Tourinho;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-120;35 / 50 / 100 / 150 / 300 MB
Rua Agostinho de Andrade;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-130;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Lustosa;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-140;35 / 50 / 100 / 150 / 300 MB
Rua Franca do Imperador;Jardim Vera Cruz(Zona Leste);São Paulo;Mauá;FTTH;08330-150;35 / 50 / 100 / 150 / 300 MB
Rua Baltazar Barbosa;Parque São Rafael;São Paulo;Mauá;FTTH;08320-500;35 / 50 / 100 / 150 / 300 MB
